Tanggal,Platform,Jenis Konten,Hook,Body Caption,CTA,Produk yang Dipromosikan,Status,Link Post,Views,Like,Komentar,DM Masuk,Catatan Evaluasi
2026-07-01,Threads,Edukasi,"Aku baru sadar, jualan digital itu bukan soal punya produk banyak.","Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 1 ini fokus bikin audiens paham value sebelum diajak beli.",Komen 'mulai' kalau mau contoh formatnya.,E-book Cara Mulai Produk Digital dari HP,Ide,https://contoh-link-post.com,137,13,1,1,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-02,TikTok,Storytelling,"Kalau kamu mau mulai affiliate, jangan mulai dari link dulu.","Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 2 ini fokus bikin audiens paham value sebelum diajak beli.",Cek link di bio kalau mau template siap pakai.,Template Caption Affiliate,Draft,https://contoh-link-post.com,174,16,2,2,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-03,Instagram,Soft selling,3 hal yang bikin konten promosi terasa lebih natural.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 3 ini fokus bikin audiens paham value sebelum diajak beli.",DM 'seller' kalau mau aku kirim detailnya.,Hook Viral Threads,Terjadwal,https://contoh-link-post.com,211,19,3,3,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-04,Threads,Listicle,Produk digital pertamaku dimulai dari file sederhana di HP.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 4 ini fokus bikin audiens paham value sebelum diajak beli.",Komen 'mulai' kalau mau contoh formatnya.,Digital Product Seller Dashboard,Posted,https://contoh-link-post.com,248,22,4,4,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-05,TikTok,Review,Cara bikin caption jualan yang nggak kaku.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 5 ini fokus bikin audiens paham value sebelum diajak beli.",Cek link di bio kalau mau template siap pakai.,Canva Template Pack,Ide,https://contoh-link-post.com,285,25,5,0,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-06,Instagram,Edukasi,"Kalau bingung jualan apa, mulai dari masalah kecil ini.","Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 6 ini fokus bikin audiens paham value sebelum diajak beli.",DM 'seller' kalau mau aku kirim detailnya.,Prompt AI untuk Jualan,Draft,https://contoh-link-post.com,322,28,6,1,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-07,Threads,Storytelling,Ini alur simpel bikin produk digital dalam sehari.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 7 ini fokus bikin audiens paham value sebelum diajak beli.",Komen 'mulai' kalau mau contoh formatnya.,Shopee Affiliate Starter Kit,Terjadwal,https://contoh-link-post.com,359,31,7,2,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-08,TikTok,Soft selling,Aku pakai cara ini buat nyusun ide konten 30 hari.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 8 ini fokus bikin audiens paham value sebelum diajak beli.",Cek link di bio kalau mau template siap pakai.,Content Calendar 30 Hari,Posted,https://contoh-link-post.com,396,34,8,3,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-09,Instagram,Listicle,Jangan upload produk sebelum cek 5 hal ini.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 9 ini fokus bikin audiens paham value sebelum diajak beli.",DM 'seller' kalau mau aku kirim detailnya.,Money Tracker Seller,Ide,https://contoh-link-post.com,433,37,0,4,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-10,Threads,Review,Affiliate pemula sering skip bagian paling penting ini.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 10 ini fokus bikin audiens paham value sebelum diajak beli.",Komen 'mulai' kalau mau contoh formatnya.,Mini Course Produk Digital,Draft,https://contoh-link-post.com,470,40,1,0,Catat hook mana yang bikin komentar/DM paling banyak
