Hari,Fokus,Tugas Utama,Tugas Tambahan,Estimasi Waktu,Status,Catatan
1,Setup dasar,"Isi profil seller, pilih niche, dan rapikan dashboard",Catat insight hari 1 dan simpan contoh konten terbaik,45 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
2,Setup dasar,"Isi profil seller, pilih niche, dan rapikan dashboard",Catat insight hari 2 dan simpan contoh konten terbaik,60 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
3,Setup dasar,"Isi profil seller, pilih niche, dan rapikan dashboard",Catat insight hari 3 dan simpan contoh konten terbaik,90 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
4,Setup dasar,"Isi profil seller, pilih niche, dan rapikan dashboard",Catat insight hari 4 dan simpan contoh konten terbaik,30 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
5,Setup dasar,"Isi profil seller, pilih niche, dan rapikan dashboard",Catat insight hari 5 dan simpan contoh konten terbaik,45 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
6,Setup dasar,"Isi profil seller, pilih niche, dan rapikan dashboard",Catat insight hari 6 dan simpan contoh konten terbaik,60 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
7,Setup dasar,"Isi profil seller, pilih niche, dan rapikan dashboard",Catat insight hari 7 dan simpan contoh konten terbaik,90 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
8,Bikin produk & aset,"Buat produk pertama, bonus, cover, dan halaman jualan",Catat insight hari 8 dan simpan contoh konten terbaik,30 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
9,Bikin produk & aset,"Buat produk pertama, bonus, cover, dan halaman jualan",Catat insight hari 9 dan simpan contoh konten terbaik,45 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
10,Bikin produk & aset,"Buat produk pertama, bonus, cover, dan halaman jualan",Catat insight hari 10 dan simpan contoh konten terbaik,60 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
11,Bikin produk & aset,"Buat produk pertama, bonus, cover, dan halaman jualan",Catat insight hari 11 dan simpan contoh konten terbaik,90 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
