Nama Produk Affiliate,Platform,Kategori,Harga Produk,Komisi,Link Affiliate,Angle Konten,Masalah Pembeli,Ide Hook,Status Konten,Link Konten,Performa,Catatan
Produk skincare viral #1,Shopee,skincare,15000,5%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk skincare ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Belum dibuat,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk fashion viral #2,TikTok Shop,fashion,25000,7%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk fashion ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Draft,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk alat rumah tangga viral #3,Shopee,alat rumah tangga,39000,10%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk alat rumah tangga ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Posted,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk gadget murah viral #4,TikTok Shop,gadget murah,59000,12%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk gadget murah ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Belum dibuat,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk aksesoris HP viral #5,Shopee,aksesoris HP,89000,15%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk aksesoris HP ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Draft,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk produk ibu rumah tangga viral #6,TikTok Shop,produk ibu rumah tangga,15000,5%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk produk ibu rumah tangga ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Posted,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk alat masak viral #7,Shopee,alat masak,25000,7%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk alat masak ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Belum dibuat,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk perlengkapan kamar viral #8,TikTok Shop,perlengkapan kamar,39000,10%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk perlengkapan kamar ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Draft,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk produk viral murah viral #9,Shopee,produk viral murah,59000,12%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk produk viral murah ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Posted,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk stationery viral #10,TikTok Shop,stationery,89000,15%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk stationery ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Belum dibuat,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk skincare viral #11,Shopee,skincare,15000,5%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk skincare ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Draft,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk fashion viral #12,TikTok Shop,fashion,25000,7%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk fashion ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Posted,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk alat rumah tangga viral #13,Shopee,alat rumah tangga,39000,10%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk alat rumah tangga ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Belum dibuat,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk gadget murah viral #14,TikTok Shop,gadget murah,59000,12%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk gadget murah ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Draft,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk aksesoris HP viral #15,Shopee,aksesoris HP,89000,15%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk aksesoris HP ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Posted,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk produk ibu rumah tangga viral #16,TikTok Shop,produk ibu rumah tangga,15000,5%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk produk ibu rumah tangga ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Belum dibuat,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk alat masak viral #17,Shopee,alat masak,25000,7%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk alat masak ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Draft,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk perlengkapan kamar viral #18,TikTok Shop,perlengkapan kamar,39000,10%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk perlengkapan kamar ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Posted,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk produk viral murah viral #19,Shopee,produk viral murah,59000,12%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk produk viral murah ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Belum dibuat,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
Produk stationery viral #20,TikTok Shop,stationery,89000,15%,https://link-affiliate-contoh.com,Review jujur + masalah harian yang relatable,Butuh produk murah yang praktis dan mudah dipakai,"Aku kira produk stationery ini biasa aja, ternyata kepake buat masalah kecil sehari-hari.",Draft,https://contoh-link-konten.com,"Catat views, klik, dan order setelah 3 hari",Pilih produk dengan rating bagus dan review foto/video
