Tanggal,Sumber Income,Produk,Platform,Pemasukan,Biaya,Profit,Metode Pembayaran,Catatan
2026-07-01,Produk Digital,E-book Cara Mulai Produk Digital dari HP,Lynk ID,39000,5000,34000,Transfer,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-02,Affiliate,Template Caption Affiliate,Shopee Affiliate,79000,10000,69000,E-wallet,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-03,Bundle,Hook Viral Threads,TikTok,99000,0,99000,Marketplace,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-04,Jasa kecil,Digital Product Seller Dashboard,Instagram DM,29000,5000,24000,Transfer,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-05,Produk Digital,Canva Template Pack,Lynk ID,39000,10000,29000,E-wallet,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-06,Affiliate,Prompt AI untuk Jualan,Shopee Affiliate,79000,0,79000,Marketplace,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-07,Bundle,Shopee Affiliate Starter Kit,TikTok,99000,5000,94000,Transfer,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-08,Jasa kecil,Content Calendar 30 Hari,Instagram DM,29000,10000,19000,E-wallet,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-09,Produk Digital,Money Tracker Seller,Lynk ID,39000,0,39000,Marketplace,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-10,Affiliate,Mini Course Produk Digital,Shopee Affiliate,79000,5000,74000,Transfer,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-11,Bundle,Checklist Launching Produk,TikTok,99000,10000,89000,E-wallet,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-12,Jasa kecil,Paket Ide Konten TikTok,Instagram DM,29000,0,29000,Marketplace,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-13,Produk Digital,Template Bio & CTA,Lynk ID,39000,5000,34000,Transfer,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-14,Affiliate,Template Deskripsi Lynk ID,Shopee Affiliate,79000,10000,69000,E-wallet,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
2026-07-15,Bundle,Bundle Produk Digital Pemula,TikTok,99000,0,99000,Marketplace,"Formula Notion: prop(""Pemasukan"") - prop(""Biaya"")"
