Hook,Kategori,Target Audiens,Emosi yang Dipancing,Cocok untuk Platform,Produk yang Cocok,Catatan
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #1 ini.",produk digital,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #2 ini.",produk digital,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #3 ini.",produk digital,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #4 ini.",produk digital,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #5 ini.",produk digital,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #6 ini.",produk digital,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #7 ini.",produk digital,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #8 ini.",produk digital,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #9 ini.",produk digital,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #10 ini.",produk digital,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #11 ini.",produk digital,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #12 ini.",produk digital,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #13 ini.",produk digital,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #14 ini.",produk digital,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #15 ini.",produk digital,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #16 ini.",produk digital,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #17 ini.",produk digital,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #18 ini.",produk digital,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #19 ini.",produk digital,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
